,quarter,department,day,team,targeted_productivity,smv,wip,over_time,incentive,idle_time,idle_men,no_of_style_change,no_of_workers,actual_productivity,month,day_of_month
163,Quarter2,sweing,Saturday,10,0.8,28.08,1082.0,10530,63,0.0,0,0,58.5,0.8,January,10
164,Quarter2,sweing,Saturday,3,0.75,19.87,1075.0,7080,45,0.0,0,0,56.0,0.750098351,January,10
165,Quarter2,sweing,Saturday,11,0.5,12.52,749.0,9540,38,0.0,0,0,53.0,0.673245283,January,10
166,Quarter2,finishing,Saturday,7,0.8,2.9,,1440,0,0.0,0,0,8.0,0.670075758,January,10
167,Quarter2,finishing,Saturday,8,0.8,2.9,,1440,0,0.0,0,0,8.0,0.628882576,January,10
168,Quarter2,sweing,Saturday,5,0.5,20.79,966.0,7680,0,0.0,0,0,56.0,0.388007813,January,10
169,Quarter2,finishing,Saturday,5,0.5,4.15,,1440,0,0.0,0,0,8.0,0.337973485,January,10
170,Quarter2,finishing,Sunday,3,0.75,4.15,,1440,0,0.0,0,0,8.0,0.93532197,January,11
171,Quarter2,finishing,Sunday,4,0.8,3.94,,3600,0,0.0,0,0,20.0,0.925643939,January,11
172,Quarter2,sweing,Sunday,9,0.8,26.16,1095.0,10620,88,0.0,0,0,59.0,0.900215716,January,11
173,Quarter2,finishing,Sunday,1,0.8,3.94,,1440,0,0.0,0,0,8.0,0.873068182,January,11
174,Quarter2,finishing,Sunday,9,0.8,3.94,,1440,0,0.0,0,0,8.0,0.858143939,January,11
175,Quarter2,sweing,Sunday,1,0.8,26.16,1383.0,10620,75,0.0,0,0,59.0,0.850502311,January,11
176,Quarter2,sweing,Sunday,7,0.8,25.9,1012.0,10170,45,0.0,0,0,56.5,0.850136766,January,11
177,Quarter2,sweing,Sunday,8,0.8,25.9,1209.0,10170,60,0.0,0,0,56.5,0.850136766,January,11
178,Quarter2,finishing,Sunday,10,0.8,3.94,,1440,0,0.0,0,0,8.0,0.828295455,January,11
179,Quarter2,finishing,Sunday,2,0.8,3.94,,1440,0,0.0,0,0,8.0,0.820833333,January,11
180,Quarter2,sweing,Sunday,6,0.8,11.41,887.0,5490,50,0.0,0,0,30.5,0.800343766,January,11
181,Quarter2,sweing,Sunday,12,0.8,11.61,896.0,5670,50,0.0,0,0,31.5,0.800246753,January,11
182,Quarter2,sweing,Sunday,2,0.8,28.08,805.0,10530,63,0.0,0,0,58.5,0.8,January,11
183,Quarter2,sweing,Sunday,10,0.8,28.08,762.0,10530,38,0.0,0,0,58.5,0.8,January,11
184,Quarter2,sweing,Sunday,3,0.8,19.87,1043.0,6420,0,0.0,0,0,55.0,0.690182815,January,11
185,Quarter2,finishing,Sunday,11,0.8,4.15,,1440,0,0.0,0,0,8.0,0.668087121,January,11
186,Quarter2,finishing,Sunday,8,0.8,2.9,,1440,0,0.0,0,0,8.0,0.653598485,January,11
187,Quarter2,finishing,Sunday,5,0.5,4.15,,1440,0,0.0,0,0,8.0,0.609138258,January,11
188,Quarter2,sweing,Sunday,11,0.6,12.52,831.0,9540,30,0.0,0,0,53.0,0.600229846,January,11
189,Quarter2,finishing,Sunday,6,0.8,2.9,,1440,0,0.0,0,0,8.0,0.597348485,January,11
190,Quarter2,finishing,Sunday,7,0.8,2.9,,1440,0,0.0,0,0,8.0,0.590435606,January,11
191,Quarter2,sweing,Sunday,4,0.8,50.48,562.0,10440,0,0.0,0,0,58.0,0.473134796,January,11
192,Quarter2,sweing,Sunday,5,0.6,20.79,1208.0,7980,0,0.0,0,0,57.0,0.452979626,January,11
193,Quarter2,finishing,Monday,1,0.8,3.94,,1440,0,0.0,0,0,8.0,0.955151515,January,12
194,Quarter2,finishing,Monday,4,0.35,4.3,,3240,0,0.0,0,0,18.0,0.942213805,January,12
195,Quarter2,finishing,Monday,3,0.8,4.15,,1800,0,0.0,0,0,10.0,0.905454545,January,12
196,Quarter2,finishing,Monday,2,0.8,3.94,,1440,0,0.0,0,0,8.0,0.880530303,January,12
197,Quarter2,finishing,Monday,9,0.8,3.94,,1440,0,0.0,0,0,8.0,0.858143939,January,12
198,Quarter2,sweing,Monday,1,0.8,26.16,1099.0,8220,75,0.0,0,0,59.0,0.850522167,January,12
199,Quarter2,sweing,Monday,9,0.8,26.16,1093.0,10620,75,0.0,0,0,59.0,0.850502311,January,12
200,Quarter2,sweing,Monday,7,0.8,25.9,1031.0,10170,60,0.0,0,0,56.5,0.850136766,January,12
201,Quarter2,sweing,Monday,8,0.8,25.9,1233.0,10170,60,0.0,0,0,56.5,0.850136766,January,12
202,Quarter2,finishing,Monday,6,0.8,2.9,,1440,0,0.0,0,0,8.0,0.817424242,January,12
203,Quarter2,finishing,Monday,5,0.65,4.15,,1440,0,0.0,0,0,8.0,0.809564394,January,12
204,Quarter2,sweing,Monday,3,0.8,19.87,941.0,9900,0,0.0,0,0,55.0,0.800273829,January,12
205,Quarter2,sweing,Monday,6,0.8,11.41,843.0,5670,50,0.0,0,0,31.5,0.800181818,January,12
206,Quarter2,sweing,Monday,12,0.8,11.61,760.0,4470,50,0.0,0,0,31.5,0.80007657,January,12
207,Quarter2,sweing,Monday,2,0.8,28.08,737.0,10530,63,0.0,0,0,58.5,0.8,January,12
208,Quarter2,finishing,Monday,8,0.8,2.9,,1440,0,0.0,0,0,8.0,0.725,January,12
209,Quarter2,sweing,Monday,10,0.8,50.48,381.0,6930,45,0.0,0,0,58.5,0.688557555,January,12
210,Quarter2,sweing,Monday,5,0.65,20.79,1141.0,8460,0,0.0,0,0,59.0,0.650040783,January,12
211,Quarter2,sweing,Monday,11,0.65,12.52,1004.0,9540,44,0.0,0,0,53.0,0.64998056,January,12
212,Quarter2,finishing,Monday,7,0.8,2.9,,1440,0,0.0,0,0,8.0,0.648106061,January,12
213,Quarter2,finishing,Monday,11,0.8,4.15,,1440,0,0.0,0,0,8.0,0.640577652,January,12
214,Quarter2,sweing,Monday,4,0.35,22.4,581.0,7350,0,0.0,0,0,51.5,0.35063299,January,12
215,Quarter2,finishing,Monday,10,0.8,3.94,,1440,0,0.0,0,0,8.0,0.24625,January,12
216,Quarter2,finishing,Tuesday,4,0.35,4.3,,2160,0,0.0,0,0,12.0,0.952020202,January,13
217,Quarter2,finishing,Tuesday,1,0.8,3.94,,1440,0,0.0,0,0,2.0,0.951420455,January,13
218,Quarter2,finishing,Tuesday,10,0.8,3.94,,5400,0,0.0,0,0,20.0,0.912766667,January,13
219,Quarter2,finishing,Tuesday,3,0.8,4.15,,1620,0,0.0,0,0,9.0,0.901262626,January,13
220,Quarter2,finishing,Tuesday,9,0.8,3.94,,1440,0,0.0,0,0,8.0,0.858143939,January,13
221,Quarter2,sweing,Tuesday,1,0.8,26.16,1073.0,10620,75,0.0,0,0,59.0,0.850502311,January,13
222,Quarter2,sweing,Tuesday,9,0.8,26.16,1156.0,10620,75,0.0,0,0,59.0,0.850502311,January,13
223,Quarter2,sweing,Tuesday,8,0.8,25.9,1211.0,10260,60,0.0,0,0,57.0,0.850252525,January,13
224,Quarter2,sweing,Tuesday,7,0.8,25.9,1126.0,10170,60,0.0,0,0,56.5,0.850136766,January,13
225,Quarter2,finishing,Tuesday,5,0.65,4.15,,1440,0,0.0,0,0,8.0,0.821354167,January,13
226,Quarter2,finishing,Tuesday,2,0.8,3.94,,1440,0,0.0,0,0,8.0,0.805909091,January,13
227,Quarter2,sweing,Tuesday,6,0.8,11.61,1004.0,5670,50,0.0,0,0,31.5,0.800246753,January,13
228,Quarter2,sweing,Tuesday,12,0.8,11.61,1063.0,5670,50,0.0,0,0,31.5,0.800246753,January,13
229,Quarter2,sweing,Tuesday,2,0.8,28.08,723.0,10530,50,0.0,0,0,58.5,0.8,January,13
230,Quarter2,sweing,Tuesday,3,0.8,42.27,465.0,9900,54,0.0,0,0,55.0,0.705576584,January,13
231,Quarter2,finishing,Tuesday,8,0.8,2.9,,1440,0,0.0,0,0,8.0,0.681060606,January,13
232,Quarter2,finishing,Tuesday,7,0.8,2.9,,1440,0,0.0,0,0,8.0,0.670075758,January,13
233,Quarter2,finishing,Tuesday,11,0.8,4.15,,1440,0,0.0,0,0,8.0,0.601278409,January,13
234,Quarter2,sweing,Tuesday,11,0.7,27.13,530.0,9540,37,0.0,0,0,53.0,0.582301029,January,13
235,Quarter2,sweing,Tuesday,5,0.7,20.79,1297.0,10440,0,0.0,0,0,58.0,0.526810345,January,13
236,Quarter2,sweing,Tuesday,4,0.5,22.4,783.0,10170,23,0.0,0,0,56.5,0.500380799,January,13
237,Quarter2,sweing,Tuesday,10,0.35,22.4,715.0,10170,23,0.0,0,0,56.5,0.35020649,January,13
238,Quarter2,finishing,Wednesday,11,0.8,4.15,,1980,0,0.0,0,0,7.0,0.934607438,January,14
239,Quarter2,finishing,Wednesday,4,0.35,4.3,,2700,0,0.0,0,0,8.0,0.908080808,January,14
240,Quarter2,sweing,Wednesday,7,0.8,25.9,1150.0,10170,70,0.0,0,0,56.5,0.900144811,January,14
241,Quarter2,finishing,Wednesday,1,0.8,3.94,,1440,0,0.0,0,0,8.0,0.891723485,January,14
242,Quarter2,finishing,Wednesday,5,0.65,4.15,,1440,0,0.0,0,0,15.0,0.864583333,January,14
243,Quarter2,finishing,Wednesday,9,0.8,3.94,,1440,0,0.0,0,0,8.0,0.858143939,January,14
